id,num1,num2,num3,num4,num5
88,5,5,8,80,78
89,1,94,84,7,43
90,38,54,37,35,60
91,99,8,3,30,50
92,13,57,60,24,19
93,15,72,36,72,45
94,40,14,49,80,25
95,19,87,21,34,1
96,58,8,40,9,28
97,84,56,22,45,25
98,78,13,88,41,18
99,1,13,70,25,87
100,67,25,84,82,21
101,87,31,24,78,45
102,34,28,61,73,63
103,52,66,77,74,34
104,65,94,59,82,71
105,11,44,63,17,94
106,66,1,51,87,59
107,47,72,14,65,31
108,44,56,72,83,90
109,64,65,4,94,90
110,14,22,70,80,18
111,11,32,35,85,86
112,89,92,23,16,56
113,95,93,21,65,10
114,55,83,13,2,91
115,41,70,35,43,83
116,38,61,91,33,38
117,80,63,77,92,41
118,92,54,95,4,5
119,85,31,47,62,66
120,34,62,12,74,38
121,21,41,65,3,86
122,33,41,62,48,72
123,58,78,68,56,34
124,17,47,7,49,99
125,20,70,13,17,98
126,19,49,21,27,82
127,66,78,62,99,62
128,47,84,10,27,24
129,26,67,45,79,90
130,29,23,91,44,65
131,28,80,92,40,19
132,32,93,19,63,36
133,21,8,42,72,29
134,86,93,95,74,93
135,28,83,31,45,56
136,14,88,8,2,98
137,65,67,52,95,83
138,97,26,95,90,92
139,70,54,72,13,100
140,11,1,65,51,75
141,83,75,55,64,67
142,90,87,74,40,1
143,21,54,87,72,21
144,78,94,58,11,23
145,93,22,89,3,17
146,53,75,77,38,79
147,52,36,19,84,34
148,31,10,6,49,61
149,71,26,76,81,51
150,61,90,30,8,42
151,86,97,26,95,29
152,80,99,100,26,38
153,71,69,33,21,85
154,33,8,86,100,10
155,6,8,1,34,87
156,40,64,26,78,51
157,89,11,6,100,47
158,55,25,75,86,97
159,68,68,30,54,88
160,12,13,8,10,31
161,65,18,83,13,5
162,83,24,93,85,10
163,58,63,38,8,40
164,31,42,33,94,96
165,85,33,54,97,99
166,67,83,96,82,65
167,48,66,89,58,69
168,31,37,81,48,24
169,48,52,96,56,95
170,6,83,34,42,41
171,95,46,65,22,87
172,5,97,93,1,4
173,93,26,70,30,7
174,31,62,46,90,68
175,37,73,60,31,17
176,57,32,17,98,68
177,11,24,44,65,3
178,69,80,76,16,62
179,11,43,77,66,97
180,68,79,81,52,19
181,17,57,69,37,76
182,65,5,7,76,73
183,51,19,22,76,18
184,43,61,82,54,41
185,82,82,26,56,22
186,61,31,62,67,86
187,58,35,94,74,28
188,27,46,85,77,37
189,71,22,93,43,77
190,2,10,99,54,48
191,44,10,90,45,50
192,98,23,72,9,94
193,59,79,93,76,15
194,14,42,71,16,82
195,78,39,93,30,23
196,37,95,97,89,96
197,24,24,65,39,32
198,30,7,15,28,9
199,42,22,49,27,7
200,80,50,13,11,53
201,80,2,19,55,89
202,80,99,62,58,46
203,94,24,54,86,83
204,34,93,7,11,13
205,58,99,4,17,31
206,40,97,89,64,3
207,12,55,90,72,11
208,96,67,59,86,21
209,43,57,1,21,84
210,88,28,34,88,93
211,49,95,44,32,24
212,73,85,60,80,91
213,54,84,50,93,33
214,90,94,41,30,59
215,83,30,40,7,69
216,36,38,15,57,57
217,82,18,78,94,82
218,79,59,1,90,67
219,39,81,37,85,30
220,57,32,81,52,1
221,15,97,21,1,28
222,11,12,52,22,72
223,64,12,82,78,63
224,29,44,81,9,8
225,2,62,28,51,16
226,75,75,28,50,90
227,70,58,37,46,61
228,85,17,3,63,64
229,62,65,8,85,48
230,89,84,34,25,46
231,92,85,78,78,75
232,91,38,91,52,44
233,17,77,4,1,58
234,61,87,48,4,87
235,61,65,9,28,14
236,88,40,98,8,89
237,92,67,78,69,25
238,73,92,81,49,47
239,79,83,6,3,49
240,76,31,38,1,74
241,55,71,94,31,89
242,13,16,35,88,78
243,17,76,78,27,79
244,53,58,13,54,64
245,40,93,93,90,51
246,61,28,19,3,53
247,58,43,78,84,31
248,80,32,2,79,41
249,20,52,40,22,85
250,77,15,82,81,80
251,96,19,54,36,69
252,39,3,39,85,79
253,53,13,74,18,27
254,59,1,85,71,3
255,75,26,83,81,49
256,70,40,19,75,44
257,7,29,26,93,63
258,82,62,81,21,45
259,42,29,36,28,70
260,82,15,50,93,73
261,97,91,62,49,2
262,25,64,77,67,25
263,15,56,39,58,93
264,19,56,79,6,1
265,72,91,47,79,25
266,49,36,65,38,74
267,40,87,55,52,50
268,14,2,92,17,21
269,65,27,24,21,67
270,1,10,53,50,56
271,8,36,65,88,95
272,90,32,97,9,90
273,83,45,22,22,35
274,42,41,79,63,49
275,65,72,86,5,51
276,39,3,3,73,41
277,40,62,7,21,66
278,89,29,53,54,58
279,79,12,45,3,1
280,85,4,72,95,23
281,8,69,78,66,45
282,50,73,92,71,15
283,32,40,48,58,73
284,63,3,52,96,83
285,14,28,64,28,84
286,26,30,85,9,63
287,51,46,77,25,59
288,90,76,23,7,74
289,77,57,76,51,63
290,51,68,30,82,24
291,48,36,61,39,20
292,58,37,85,59,17
293,23,77,92,80,4
294,36,89,46,97,10
295,80,33,90,36,89
296,39,71,28,85,30
297,67,8,49,18,29
298,19,63,15,49,93
299,71,88,42,74,13
300,97,73,54,37,74
301,25,31,69,66,69
302,82,37,25,36,70
303,77,25,72,78,12
304,80,59,83,15,63
305,34,10,7,1,21
306,21,79,36,12,68
307,17,72,4,94,35
308,2,82,52,63,51
309,67,74,30,60,42
310,59,93,75,67,77
311,5,9,6,79,93
312,53,54,61,54,44
313,77,85,44,91,4
314,92,7,39,38,43
315,54,8,74,22,57
316,71,60,44,74,82
317,24,25,28,55,22
318,47,62,92,85,70
319,33,78,91,98,12
320,80,60,46,22,7
321,62,82,3,97,80
322,94,87,25,87,13
323,98,20,74,15,23
324,99,46,83,100,50
325,73,60,28,6,43
326,4,78,14,79,48
327,75,75,16,65,47
328,77,61,20,80,90
329,24,58,29,52,72
330,10,99,21,54,97
331,20,39,96,96,15
332,83,53,28,66,19
333,66,21,77,2,78
334,13,49,92,96,89
335,63,23,42,81,86
336,72,63,43,47,20
337,36,76,69,7,32
338,40,20,20,76,3
339,71,22,88,85,11
340,2,69,6,3,63
341,49,96,65,88,88
342,9,100,97,100,8
343,8,49,95,81,35
344,62,52,63,93,76
345,33,68,9,83,88
346,14,52,7,99,58
347,94,48,34,25,37
348,89,15,58,59,73
349,17,74,68,98,46
350,93,39,69,2,14
351,75,83,26,97,18
352,46,97,13,86,28
353,60,45,4,7,81
354,77,62,8,55,77
355,41,94,41,24,17
356,65,38,57,37,46
357,52,69,50,72,66
358,91,4,1,43,92
359,50,57,18,83,37
360,86,64,94,71,84
361,43,62,93,4,96
362,97,59,60,95,65
363,45,44,92,4,61
364,55,34,92,81,92
365,70,42,79,42,85
366,58,29,43,20,49
367,24,32,87,99,54
368,61,100,7,50,74
369,60,40,87,66,5
370,22,36,83,63,69
371,23,4,66,86,42
372,9,76,82,7,8
373,80,48,18,3,99
374,20,27,62,31,30
375,7,39,53,20,55
376,34,7,13,96,5
377,2,50,75,32,97
378,10,76,33,92,100
379,66,24,2,83,96
380,30,63,74,64,79
381,38,76,78,23,17
382,88,1,7,93,84
383,90,38,60,47,29
384,67,68,3,54,82
385,65,58,4,29,68
386,3,64,31,70,62
387,67,77,24,11,10
388,1,59,94,4,16
389,8,88,11,78,7
390,67,11,98,40,38
391,60,42,50,100,48
392,55,73,24,90,69
393,45,28,75,57,93
394,25,56,27,2,73
395,29,49,46,1,54
396,81,48,80,7,91
397,52,33,86,73,69
398,79,82,30,20,88
399,70,81,81,56,100
400,47,35,78,82,94
401,8,80,11,40,5
402,42,51,74,88,18
403,46,19,88,68,97
404,68,25,93,54,1
405,11,95,39,24,16
406,58,75,41,20,38
407,23,25,83,17,45
408,38,89,83,14,28
409,60,83,79,97,86
410,78,39,93,52,57
411,75,16,8,9,76
412,72,24,32,61,97
413,63,1,30,18,33
414,40,29,60,35,30
415,83,61,8,46,89
416,97,91,77,66,63
417,9,92,4,57,79
418,71,78,7,5,37
419,80,52,99,93,78
420,8,80,43,55,84
421,57,68,17,76,81
422,31,61,41,50,82
423,78,23,68,97,49
424,56,100,4,48,21
425,80,86,74,3,46
426,82,23,95,9,47
427,33,52,20,17,59
428,46,46,71,80,15
429,29,79,32,50,48
430,79,63,15,29,30
431,81,34,78,99,61
432,82,47,45,14,17
433,74,61,13,79,47
434,28,82,47,60,4
435,32,63,62,46,8
436,61,65,50,49,9
437,35,48,93,33,62
438,70,63,60,88,64
439,16,64,57,67,85
440,36,16,88,7,69
441,7,76,43,7,84
442,79,10,5,52,36
443,13,30,26,43,51
444,71,67,78,12,48
445,65,13,90,86,24
446,20,15,43,45,57
447,44,2,86,79,97
448,5,10,11,54,44
449,94,98,29,25,29
450,12,35,74,8,44
451,78,9,36,98,53
452,29,32,92,8,79
453,44,12,33,44,62
454,17,90,47,70,43
455,26,33,95,93,89
456,61,96,47,71,13
457,49,85,60,27,82
458,75,81,70,79,11
459,41,14,28,61,2
460,11,74,92,23,58
461,100,55,91,61,69
462,93,83,28,46,44
463,59,34,88,4,17
464,59,6,5,89,58
465,19,38,96,20,34
466,57,61,87,62,83
467,13,87,17,72,41
468,31,21,16,80,40
469,29,71,22,25,55
470,18,9,97,1,20
471,69,54,77,95,5
472,5,97,27,42,31
473,18,53,64,11,39
474,46,58,60,5,87
475,17,63,32,45,77
476,86,94,35,23,30
477,50,79,77,60,67
478,2,10,100,15,70
479,60,10,45,33,37
480,98,67,68,72,73
481,29,83,71,35,17
482,73,45,100,5,55
483,6,55,31,79,74
484,19,69,49,69,71
485,59,79,81,59,49
486,99,82,8,47,53
487,65,39,70,33,13
488,94,15,71,57,16
489,48,14,33,2,22
490,2,85,73,15,66
491,30,39,78,4,11
492,21,74,93,4,20
493,54,71,81,51,47
494,49,99,63,72,44
495,7,20,42,25,64
496,28,43,12,75,52
497,39,48,79,100,14
498,59,32,30,11,51
499,36,32,57,18,34
500,72,32,48,81,9
501,17,40,28,37,88
502,44,37,92,54,46
503,29,78,1,86,77
504,84,18,25,23,100
505,76,41,83,48,87
506,3,18,90,65,74
507,2,41,62,53,97
508,58,96,74,60,57
509,95,64,89,45,48
510,44,16,78,69,30
511,74,83,38,86,48
512,14,7,38,33,65
513,38,19,1,80,94
514,21,61,87,12,83
515,74,43,20,87,33
516,3,27,43,50,26
517,17,91,34,56,14
518,75,79,2,43,27
519,99,83,43,53,69
520,5,85,63,65,29
521,24,16,14,4,89
522,79,91,70,60,83
523,10,56,1,79,21
524,80,32,57,93,82
525,90,56,33,60,85
526,75,10,71,89,47
527,11,75,8,37,52
528,64,75,30,79,56
529,90,14,69,37,23
530,85,100,16,7,95
531,63,100,46,2,9
532,3,42,38,7,85
533,28,22,1,7,22
534,61,65,22,73,66
535,71,49,71,63,27
536,98,59,76,7,57
537,92,60,67,85,66
538,50,22,66,91,41
539,54,94,24,8,24
540,80,19,4,78,92
541,37,18,19,14,72
542,37,2,20,49,63
543,94,86,96,35,95
544,95,79,47,79,59
545,38,91,99,58,69
546,65,80,6,96,97
547,82,6,53,90,62
548,61,18,47,82,61
549,23,44,36,54,83
550,87,51,90,79,46
551,67,24,69,85,22
552,49,24,35,40,91
553,98,84,89,16,93
554,35,63,18,4,6
555,9,5,92,28,18
556,48,73,24,35,50
557,16,5,61,65,32
558,76,20,10,78,50
559,54,89,23,66,58
560,50,75,39,96,67
561,46,79,41,47,63
562,13,32,85,90,99
563,44,7,61,78,91
564,24,99,32,72,3
565,15,5,66,88,44
566,18,4,40,38,61
567,38,51,47,54,66
568,81,48,78,13,8
569,18,26,84,66,16
570,98,55,18,75,16
571,42,37,85,55,12
572,84,53,88,24,44
573,81,20,75,16,9
574,77,34,39,46,19
575,4,89,70,60,84
576,80,84,51,67,76
577,43,33,81,36,4
578,90,10,93,78,35
579,10,12,74,82,14
580,38,55,24,64,25
581,69,71,21,39,28
582,18,65,88,43,76
583,83,44,69,48,34
584,33,81,72,94,3
585,17,54,23,65,28
586,50,76,93,99,20
587,22,43,98,93,87
588,55,3,49,4,98
589,69,99,14,65,8
590,86,72,92,59,82
591,61,55,24,89,91
592,46,46,2,29,71
593,95,25,60,27,26
594,73,24,79,95,6
595,93,67,47,72,25
596,73,98,52,18,73
597,22,73,36,28,56
598,52,47,95,49,18
599,61,29,17,74,17
600,66,14,38,24,100
601,100,16,81,47,74
602,16,97,45,99,84
603,45,68,44,89,36
604,85,97,73,71,24
605,56,71,20,59,24
606,74,40,46,50,92
607,42,50,26,20,34
608,67,24,6,65,75
609,74,10,71,51,20
610,33,84,30,49,68
611,63,17,87,32,45
612,21,23,81,94,13
613,62,60,55,29,98
614,5,10,32,65,3
615,70,21,13,64,21
616,17,35,31,80,4
617,7,92,14,82,27
618,6,42,8,11,38
619,33,3,5,26,96
620,91,23,99,5,40
621,19,42,60,17,85
622,62,82,34,3,90
623,76,7,93,76,10
624,51,16,47,92,19
625,27,90,28,31,4
626,87,67,86,25,57
627,33,82,88,63,36
628,67,75,32,97,17
629,12,5,12,13,48
630,10,2,51,65,67
631,2,78,58,72,21
632,3,38,72,82,76
633,35,98,79,13,14
634,59,24,99,39,8
635,76,15,61,2,90
636,53,13,44,25,83
637,2,53,69,19,70
638,97,66,96,52,9
639,77,33,63,45,61
640,41,3,25,99,49
641,57,43,60,59,66
642,38,20,33,83,79
643,39,19,81,11,90
644,44,23,49,42,47
645,39,91,97,29,90
646,75,36,23,44,10
647,76,71,66,29,67
648,64,20,55,33,67
649,10,8,22,4,66
650,84,73,45,72,60
651,67,96,81,46,8
652,48,59,26,91,88
653,96,44,53,13,61
654,97,58,41,45,100
655,55,21,94,55,41
656,91,46,98,50,36
657,55,10,95,88,88
658,2,16,91,55,6
659,25,17,42,39,12
660,93,80,63,76,30
661,43,48,85,23,96
662,87,12,93,91,53
663,53,80,50,59,79
664,42,56,99,89,29
665,46,47,96,37,61
666,84,34,91,93,16
667,72,50,50,56,5
668,51,27,31,13,79
669,76,75,41,41,40
670,30,86,92,100,56
671,30,10,97,62,21
672,55,68,25,37,58
673,43,93,2,38,40
674,44,39,27,1,55
675,84,69,55,37,32
676,47,72,83,47,64
677,52,42,45,2,44
678,68,67,76,84,12
679,48,17,3,2,51
680,74,75,54,25,18
681,26,40,94,82,97
682,17,95,16,36,25
683,23,28,3,55,87
684,64,3,17,52,6
685,55,100,41,31,87
686,68,66,22,6,39
687,41,30,25,2,30
688,92,54,45,96,68
689,87,38,57,94,73
690,32,15,83,39,88
691,43,59,99,48,82
692,4,1,29,80,68
693,93,86,25,19,80
694,10,47,99,50,78
695,67,11,66,59,29
696,83,20,69,60,6
697,30,30,92,46,45
698,41,18,56,22,57
699,90,92,32,63,38
700,87,73,71,43,15
701,50,65,46,97,46
702,36,8,52,14,18
703,81,77,12,17,21
704,43,95,41,24,42
705,33,64,42,38,18
706,21,86,21,44,39
707,41,71,8,94,55
708,85,5,85,49,90
709,68,84,32,55,94
710,81,29,88,80,50
711,26,45,71,24,61
712,82,13,80,97,82
713,78,98,62,47,64
714,34,64,64,36,57
715,12,16,86,100,69
716,38,6,97,16,30
717,27,97,67,12,79
718,74,40,46,38,9
719,97,2,10,15,72
720,95,99,30,36,95
721,15,53,68,81,8
722,12,45,71,4,73
723,51,29,90,65,26
724,97,13,22,73,30
725,42,11,36,20,67
726,66,81,64,25,33
727,43,68,16,35,75
728,91,22,89,25,20
729,54,14,63,22,13
730,100,70,55,10,4
731,88,50,68,55,60
732,47,83,1,68,90
733,46,25,26,43,42
734,67,30,60,90,71
735,52,11,85,25,2
736,61,78,81,96,53
737,50,86,90,15,42
738,38,59,58,49,30
739,91,31,12,88,83
740,74,85,34,53,33
741,63,72,36,94,61
742,48,15,67,88,54
743,51,8,64,95,67
744,56,26,82,64,15
745,72,92,37,34,14
746,71,39,37,100,64
747,26,77,12,77,18
748,60,10,66,95,18
749,51,60,34,23,67
750,12,19,88,84,13
751,50,18,78,51,86
752,91,95,15,97,24
753,47,17,98,99,8
754,63,12,50,58,42
755,79,97,41,24,54
756,32,45,92,11,93
757,47,72,34,58,2
758,24,24,18,39,8
759,42,71,70,77,91
760,96,23,51,12,83
761,39,20,98,68,16
762,31,4,2,93,74
763,79,98,43,31,15
764,40,88,61,46,53
765,64,34,60,74,83
766,56,51,42,10,92
767,81,38,14,41,30
768,29,47,36,44,45
769,5,43,29,48,57
770,15,47,93,80,100
771,14,70,61,40,63
772,46,37,100,71,18
773,73,92,90,72,92
774,47,81,89,3,95
775,92,30,24,24,33
776,83,70,66,45,16
777,9,59,94,74,60
778,87,66,38,64,62
779,18,72,46,45,7
780,7,100,59,95,14
781,93,5,30,46,60
782,41,97,20,13,68
783,42,25,52,40,30
784,100,87,36,58,16
785,9,74,10,97,39
786,70,10,21,20,70
787,66,45,37,32,33
788,20,45,93,31,91
789,55,80,45,30,77
790,81,44,13,94,94
791,33,49,84,37,77
792,31,28,47,48,61
793,74,86,5,2,18
794,5,83,47,100,1
795,97,99,25,89,87
796,5,2,100,24,38
797,88,64,3,75,86
798,93,5,79,12,99
799,49,79,35,78,25
800,96,29,4,39,77
801,47,40,84,4,13
802,50,71,100,3,88
803,75,88,76,32,5
804,12,67,37,29,93
805,71,15,28,25,8
806,4,75,46,98,32
807,11,1,19,61,49
808,89,90,69,46,81
809,46,100,44,13,7
810,91,14,97,16,44
811,95,79,100,47,32
812,96,65,47,40,22
813,81,71,19,98,6
814,4,39,69,38,40
815,4,55,95,44,39
816,96,39,68,41,92
817,28,81,53,59,2
818,37,71,30,30,11
819,31,67,10,64,93
820,31,48,95,26,42
821,24,47,3,69,50
822,5,35,53,3,91
823,1,75,81,25,34
824,82,19,2,72,60
825,50,52,65,56,41
826,95,30,81,90,15
827,42,67,88,44,14
828,16,41,51,68,94
829,20,69,9,35,17
830,37,95,79,1,30
831,74,41,10,74,99
832,25,78,13,50,13
833,47,27,2,77,67
834,62,27,64,29,95
835,6,8,92,70,37
836,74,69,2,67,4
837,42,73,29,44,30
838,40,48,81,11,44
839,35,90,99,92,16
840,90,35,46,59,34
841,81,27,92,60,51
842,93,31,7,74,13
843,58,71,17,57,16
844,70,71,51,8,66
845,13,24,46,72,67
846,74,100,22,8,95
847,75,2,62,48,20
848,48,31,16,6,41
849,61,71,40,33,24
850,6,10,41,15,13
851,87,8,72,36,52
852,26,51,94,47,81
853,22,32,100,87,1
854,64,57,41,13,62
855,86,9,8,61,74
856,52,5,59,20,4
857,77,77,86,36,99
858,43,97,27,69,22
859,27,85,84,2,12
860,65,58,95,72,38
861,69,47,10,97,43
862,46,62,32,38,31
863,37,34,5,8,14
864,56,57,74,33,67
865,19,67,74,70,78
866,77,65,92,68,24
867,32,96,67,82,52
868,100,43,77,68,34
869,78,89,6,27,70
870,96,90,43,46,72
871,82,78,88,31,73
872,60,89,53,23,42
873,34,20,85,37,78
874,38,23,60,74,44
875,25,98,89,92,91
876,20,11,10,8,25
877,8,58,63,42,100
878,29,91,31,88,87
879,23,12,35,38,26
880,53,8,68,79,39
881,28,30,42,61,57
882,40,56,56,7,90
883,78,3,91,23,47
884,88,59,89,92,19
885,70,84,12,91,12
886,80,85,86,78,30
887,87,50,41,45,94
888,32,100,15,68,51
889,15,7,39,58,2
890,71,23,65,42,2
891,91,38,90,22,51
892,86,17,37,88,72
893,56,100,38,60,54
894,90,99,54,33,73
895,92,56,58,68,83
896,75,73,77,33,90
897,28,96,73,11,83
898,81,7,11,88,71
899,42,87,47,35,80
900,33,97,95,8,76
901,70,34,74,26,4
902,28,48,61,78,64
903,15,40,20,2,18
904,87,70,89,24,42
905,51,98,84,97,91
906,9,2,48,59,30
907,4,82,97,23,98
908,9,13,69,45,87
909,75,14,25,86,62
910,41,12,76,33,95
911,77,6,52,68,11
912,56,48,8,77,29
913,87,51,87,34,16
914,82,53,10,44,49
915,40,49,55,83,94
916,27,12,85,35,77
917,53,74,81,97,88
918,30,81,48,55,42
919,9,78,11,30,46
920,73,34,30,35,58
921,67,90,16,97,5
922,74,96,97,54,20
923,71,63,2,74,84
924,67,58,78,52,58
925,8,53,3,44,65
926,35,28,34,92,56
927,1,74,88,69,97
928,39,8,15,24,15
929,89,83,23,23,70
930,94,45,65,52,91
931,89,60,100,73,69
932,30,35,99,17,38
933,11,81,21,68,53
934,41,3,48,28,44
935,60,95,59,92,81
936,92,40,98,60,83
937,68,91,78,83,38
938,98,87,71,61,26
939,36,34,65,50,45
940,64,78,59,30,74
941,66,23,74,32,38
942,99,29,91,18,2
943,55,16,34,13,44
944,32,17,90,87,63
945,100,99,54,95,18
946,66,3,19,28,54
947,94,37,43,16,4
948,70,6,48,37,25
949,67,26,48,17,87
950,92,35,100,11,43
951,78,36,23,89,70
952,38,38,89,25,52
953,86,7,55,89,37
954,77,82,71,58,49
955,6,79,1,52,82
956,46,63,69,93,78
957,62,69,90,87,43
958,60,59,44,52,40
959,51,26,4,46,75
960,46,34,17,92,23
961,82,52,48,19,84
962,73,12,32,23,66
963,69,38,31,81,44
964,59,85,61,100,92
965,87,33,81,13,39
966,2,58,44,10,3
967,5,89,16,35,99
968,95,26,14,1,55
969,60,75,33,85,1
970,29,22,46,91,19
971,93,99,61,47,85
972,95,54,71,15,27
973,1,11,76,93,73
974,89,29,34,31,13
975,88,71,22,65,81
976,89,16,32,29,32
977,34,13,57,71,8
978,43,83,57,41,38
979,36,82,65,40,29
980,75,3,36,5,38
981,68,1,71,50,41
982,41,91,50,20,47
983,12,19,63,7,89
984,64,52,7,100,94
985,42,30,15,10,4
986,82,98,21,73,63
987,47,6,19,36,77
988,26,77,15,35,25
989,40,38,70,28,38
990,49,97,91,10,42
991,40,21,96,90,22
992,79,16,53,72,56
993,95,91,48,35,4
994,37,69,2,30,97
995,60,75,79,98,29
996,52,35,70,8,53
997,93,58,58,63,61
998,50,55,42,36,35
999,11,71,54,10,93
1000,57,29,43,72,44
1001,21,76,92,34,98
1002,53,27,3,96,27
1003,80,70,14,22,99
1004,61,96,99,89,59
1005,94,78,83,74,95
1006,45,66,90,100,9
1007,16,59,34,84,57
1008,60,47,27,1,42
1009,30,99,32,99,89
1010,99,100,25,43,58
1011,15,20,18,62,22
1012,38,33,22,31,12
1013,71,75,34,48,57
1014,97,33,90,40,85
1015,49,81,13,57,1
1016,45,97,63,91,5
1017,87,70,56,53,39
1018,6,48,12,50,37
1019,79,69,72,91,90
1020,57,38,67,27,93
1021,40,6,9,95,82
1022,37,76,71,59,54
1023,41,40,13,16,43
1024,47,38,3,31,96
1025,81,84,41,21,14
1026,75,80,24,72,88
1027,40,100,54,32,27
1028,83,81,66,53,13
1029,54,99,98,54,63
1030,62,9,8,52,28
1031,61,1,54,29,35
1032,62,50,73,53,38
1033,61,1,25,43,55
1034,92,38,68,41,40
1035,69,56,92,29,10
1036,77,59,47,24,31
1037,50,45,17,5,36
1038,46,8,57,92,68
1039,7,13,95,37,14
1040,77,47,8,69,51
1041,82,77,48,33,37
1042,4,98,92,26,43
1043,90,92,56,45,4
1044,2,20,17,18,49
1045,36,100,82,44,63
1046,19,15,23,35,95
1047,74,22,36,11,66
1048,65,5,84,75,92
1049,85,79,69,3,68
1050,66,47,67,46,90
1051,14,86,72,33,76
1052,69,24,56,99,38
1053,18,35,8,96,84
1054,34,90,75,29,94
1055,87,80,15,65,35
1056,23,34,84,63,77
1057,88,97,66,17,71
1058,3,45,87,46,46
1059,32,71,100,61,75
1060,38,5,21,67,53
1061,87,97,34,82,64
1062,56,24,84,75,80
1063,92,52,95,75,13
1064,29,100,72,27,88
1065,91,12,91,55,84
1066,49,80,66,28,50
1067,66,42,86,6,52
1068,23,37,67,99,29
1069,11,18,15,82,95
1070,13,44,30,96,8
1071,33,40,98,34,69
1072,21,1,28,73,93
1073,86,94,7,55,27
1074,41,96,71,51,22
1075,49,76,90,19,36
1076,95,32,44,9,36
1077,73,9,30,43,35
1078,5,19,76,70,29
1079,52,75,94,80,56
1080,33,83,64,5,98
1081,6,19,71,20,55
1082,57,18,18,46,59
1083,66,22,37,62,79
1084,86,39,38,96,11
1085,46,4,2,32,81
1086,88,12,35,18,54
1087,18,8,73,69,12
1088,33,75,78,66,35
1089,34,18,66,83,69
1090,10,95,57,22,35
1091,65,84,90,20,44
1092,34,48,69,40,81
1093,55,95,24,31,33
1094,95,35,57,85,57
1095,57,73,86,91,89
1096,14,93,39,14,84
1097,86,21,65,20,17
1098,73,59,95,33,30
1099,72,32,94,74,28
1100,39,10,14,61,80
1101,51,23,22,87,43
1102,69,57,77,62,17
1103,25,82,25,64,99
1104,84,18,24,1,44
1105,11,83,96,65,66
1106,39,25,61,16,84
1107,59,30,4,67,6
1108,52,71,77,11,52
1109,45,30,20,37,65
1110,41,35,77,85,56
1111,64,86,56,95,52
1112,58,6,44,38,78
1113,36,3,98,5,15
1114,71,5,48,10,35
1115,56,64,56,15,72
1116,8,18,61,56,49
1117,12,10,51,57,72
1118,42,81,34,79,57
1119,80,97,68,41,27
1120,59,58,76,67,80
1121,86,34,38,24,93
1122,46,31,75,63,80
1123,8,53,68,39,14
1124,18,64,70,41,84
1125,21,73,1,12,97
1126,54,18,55,4,19
1127,43,81,99,43,39
1128,69,74,22,84,29
1129,36,70,93,85,3
1130,99,70,99,68,94
1131,71,42,69,59,35
1132,19,55,62,66,37
1133,48,16,8,80,81
1134,49,1,17,85,71
1135,79,26,20,72,92
1136,33,53,14,82,81
1137,6,6,80,79,27
1138,41,63,12,6,82
1139,97,34,51,94,37
1140,69,33,83,78,84
1141,44,76,96,11,78
1142,12,96,92,84,98
1143,82,20,47,85,5
1144,52,56,76,8,59
1145,67,11,41,100,86
1146,18,58,54,57,9
1147,34,4,76,97,45
1148,89,22,7,55,93
1149,16,6,96,6,3
1150,15,71,35,15,12
1151,59,13,8,58,42
